REMARK Ligand,2PQK,3KJ2,score
Data_output/xiaoqi_appendix/models0_0.pdb,-222.27,-229.12,-225.695
Data_output/xiaoqi_appendix/models0_1.pdb,-204.89,-203.15,-204.020
