REMARK Ligand,2PQK,3KJ2,score
Data_output/xiaoqi_appendix/models1_0.pdb,-187.41,-188.33,-187.870
Data_output/xiaoqi_appendix/models1_1.pdb,-228.67,-212.02,-220.345
